INFO | 2025-11-28 14:41:28+0100 : Content of 'C:\Users\lele1\Documents\Kathara\simple-file-manager-react\simple-file-manager-react\backend\logs\namex.log' has been reset.
INFO | 2025-11-28 14:41:31+0100 : IXP API Started
INFO | 2025-11-28 14:41:31+0100 : Lab was discovered!
INFO | 2025-11-28 14:41:31+0100 : Context:
Lab: iQnk9KyBDBJPmZROLT6Tw
Machines: dict_keys(['as112_0', 'as137_0', 'as1267_0', 'as42_0', 'rs1_v6', 'rs1_v4', 'switch'])
INFO | 2025-11-28 14:41:37+0100 : Found 7 running containers
INFO | 2025-11-28 14:41:37+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as112_0_iQnk9KyBDBJPmZROLT6Tw by search for device as112_0
INFO | 2025-11-28 14:41:38+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as137_0_iQnk9KyBDBJPmZROLT6Tw by search for device as137_0
INFO | 2025-11-28 14:41:40+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as1267_0_iQnk9KyBDBJPmZROLT6Tw by search for device as1267_0
INFO | 2025-11-28 14:41:42+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as42_0_iQnk9KyBDBJPmZROLT6Tw by search for device as42_0
INFO | 2025-11-28 14:41:44+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v6_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v6
INFO | 2025-11-28 14:41:46+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v4_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v4
INFO | 2025-11-28 14:41:48+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_switch_iQnk9KyBDBJPmZROLT6Tw by search for device switch
INFO | 2025-11-28 14:41:49+0100 : Requesting rib diff for rs1_v4, IP Type: 4, config: ixp.conf
INFO | 2025-11-28 14:41:49+0100 : Executing 'bgpctl show rib' on rs1_v4
INFO | 2025-11-28 14:41:49+0100 : Executing command on rs1_v4: bgpctl show rib
INFO | 2025-11-28 14:41:50+0100 : Command completed on rs1_v4
INFO | 2025-11-28 14:41:50+0100 : Processed 717 lines, added 710 routes, skipped 5
INFO | 2025-11-28 14:41:50+0100 : RibDump parsed: 710 routes, 1 errors
INFO | 2025-11-28 14:41:50+0100 : Processed 15573 lines, added 14723 routes, skipped 0
INFO | 2025-11-28 14:41:50+0100 : RibDump parsed: 14723 routes, 0 errors
INFO | 2025-11-28 14:41:50+0100 : RIB diff completed: 710 matching, 14013 not loaded, 0 extra
INFO | 2025-11-28 14:42:02+0100 : Found 7 running containers
INFO | 2025-11-28 14:42:02+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as112_0_iQnk9KyBDBJPmZROLT6Tw by search for device as112_0
INFO | 2025-11-28 14:42:03+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as137_0_iQnk9KyBDBJPmZROLT6Tw by search for device as137_0
INFO | 2025-11-28 14:42:05+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as1267_0_iQnk9KyBDBJPmZROLT6Tw by search for device as1267_0
INFO | 2025-11-28 14:42:07+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_as42_0_iQnk9KyBDBJPmZROLT6Tw by search for device as42_0
INFO | 2025-11-28 14:42:09+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v6_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v6
INFO | 2025-11-28 14:42:11+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_rs1_v4_iQnk9KyBDBJPmZROLT6Tw by search for device rs1_v4
INFO | 2025-11-28 14:42:13+0100 : Found container kathara_lele1-biiszkydq3tetmptpltlq_switch_iQnk9KyBDBJPmZROLT6Tw by search for device switch
INFO | 2025-11-28 14:42:15+0100 : Requesting rib diff for rs1_v4, IP Type: 4, config: ixp.conf
INFO | 2025-11-28 14:42:15+0100 : Executing 'bgpctl show rib' on rs1_v4
INFO | 2025-11-28 14:42:15+0100 : Executing command on rs1_v4: bgpctl show rib
INFO | 2025-11-28 14:42:16+0100 : Command completed on rs1_v4
INFO | 2025-11-28 14:42:16+0100 : Processed 717 lines, added 710 routes, skipped 5
INFO | 2025-11-28 14:42:16+0100 : RibDump parsed: 710 routes, 1 errors
INFO | 2025-11-28 14:42:16+0100 : Processed 15573 lines, added 14723 routes, skipped 0
INFO | 2025-11-28 14:42:16+0100 : RibDump parsed: 14723 routes, 0 errors
INFO | 2025-11-28 14:42:16+0100 : RIB diff completed: 710 matching, 14013 not loaded, 0 extra
INFO | 2025-11-28 14:42:28+0100 : Found 7 running containers
